formatted_date,date,high,low,open,close,volume,adjclose
2025-01-02,1735828200,53.470001220703125,51.02000045776367,53.31999969482422,51.369998931884766,10167700,50.84347915649414
2025-01-03,1735914600,51.959999084472656,50.459999084472656,51.5,51.77000045776367,8949900,51.239383697509766
2025-01-06,1736173800,54.400001525878906,52.25,52.7599983215332,53.529998779296875,9728200,52.98134231567383
2025-01-07,1736260200,53.70000076293945,51.91999816894531,53.70000076293945,51.97999954223633,9093300,51.44723129272461
2025-01-08,1736346600,51.75,50.310001373291016,51.75,51.0,7243700,50.47727584838867
2025-01-10,1736519400,50.84000015258789,49.7599983215332,50.779998779296875,49.849998474121094,7847700,49.33905792236328
2025-01-13,1736778600,50.099998474121094,49.02000045776367,49.040000915527344,49.93000030517578,7950900,49.41823959350586
2025-01-14,1736865000,51.41999816894531,50.20000076293945,50.43000030517578,50.939998626708984,7170100,50.41788864135742
2025-01-15,1736951400,52.95000076293945,51.619998931884766,52.20000076293945,51.70000076293945,7518900,51.170101165771484
2025-01-16,1737037800,52.02000045776367,51.15999984741211,51.65999984741211,51.84000015258789,6415400,51.30867004394531
2025-01-17,1737124200,52.189998626708984,50.72999954223633,51.93000030517578,50.970001220703125,9620000,50.44758224487305
2025-01-21,1737469800,54.060001373291016,51.290000915527344,51.790000915527344,53.88999938964844,12962100,53.337650299072266
2025-01-22,1737556200,53.45000076293945,52.43000030517578,53.33000183105469,52.7599983215332,7778100,52.219234466552734
2025-01-23,1737642600,54.349998474121094,52.7400016784668,53.040000915527344,54.220001220703125,7452900,53.66427230834961
2025-01-24,1737729000,54.599998474121094,53.709999084472656,54.189998626708984,53.90999984741211,6619600,53.357452392578125
2025-01-27,1737988200,55.060001373291016,54.08000183105469,54.2599983215332,54.91999816894531,12075400,54.357093811035156
2025-01-28,1738074600,50.97999954223633,48.720001220703125,50.97999954223633,50.040000915527344,33776700,49.52711868286133
2025-01-29,1738161000,50.61000061035156,49.119998931884766,50.279998779296875,49.779998779296875,15123000,49.26978302001953
2025-01-30,1738247400,50.9900016784668,47.7599983215332,50.45000076293945,49.5,16443200,48.99264907836914
2025-01-31,1738333800,51.72999954223633,49.18000030517578,49.66999816894531,49.459999084472656,20564000,48.95305633544922
2025-02-03,1738593000,49.22999954223633,46.369998931884766,46.5,47.900001525878906,28555900,47.40904998779297
2025-02-04,1738679400,48.939998626708984,47.11000061035156,47.16999816894531,48.56999969482422,9746700,48.072181701660156
2025-02-05,1738765800,48.790000915527344,47.7400016784668,48.709999084472656,47.810001373291016,10719400,47.31997299194336
2025-02-06,1738852200,48.38999938964844,47.439998626708984,47.9900016784668,47.93000030517578,9218400,47.438743591308594
2025-02-07,1738938600,48.31999969482422,47.209999084472656,47.689998626708984,47.38999938964844,9608500,46.90428161621094
2025-02-10,1739197800,47.599998474121094,46.439998626708984,47.400001525878906,46.56999969482422,9017200,46.09267807006836
2025-02-11,1739284200,46.84000015258789,46.2599983215332,46.36000061035156,46.70000076293945,7058500,46.22134780883789
2025-02-12,1739370600,47.9900016784668,46.2599983215332,46.41999816894531,47.689998626708984,10572400,47.201202392578125
2025-02-13,1739457000,48.630001068115234,47.349998474121094,48.13999938964844,47.88999938964844,7748300,47.39915466308594
2025-02-14,1739543400,48.68000030517578,47.91999816894531,48.38999938964844,48.369998931884766,5630000,47.874229431152344
2025-02-18,1739889000,48.709999084472656,47.599998474121094,48.70000076293945,48.130001068115234,6967300,47.636688232421875
2025-02-19,1739975400,47.970001220703125,47.220001220703125,47.72999954223633,47.79999923706055,6836000,47.3100700378418
2025-02-20,1740061800,47.90999984741211,46.7599983215332,47.790000915527344,47.88999938964844,5801800,47.39915466308594
2025-02-21,1740148200,48.09000015258789,45.93000030517578,47.93000030517578,46.290000915527344,6775700,45.8155517578125
2025-02-24,1740407400,46.90999984741211,46.040000915527344,46.66999816894531,46.56999969482422,8127100,46.09267807006836
2025-02-25,1740493800,47.02000045776367,45.689998626708984,46.720001220703125,46.709999084472656,7903500,46.23124694824219
2025-02-26,1740580200,50.189998626708984,48.15999984741211,48.90999984741211,48.459999084472656,17082000,47.96330642700195
2025-02-27,1740666600,48.93000030517578,47.560001373291016,47.79999923706055,47.630001068115234,14881100,47.14181137084961
2025-02-28,1740753000,49.4900016784668,47.130001068115234,47.52000045776367,49.130001068115234,21380500,48.626441955566406
2025-03-03,1741012200,50.5,46.7400016784668,49.97999954223633,47.380001068115234,16880500,46.894378662109375
2025-03-04,1741098600,46.41999816894531,44.40999984741211,46.41999816894531,45.220001220703125,20786800,44.75651931762695
2025-03-05,1741185000,49.06999969482422,46.22999954223633,46.70000076293945,48.47999954223633,27954200,47.98310470581055
2025-03-06,1741271400,48.33000183105469,46.38999938964844,47.77000045776367,47.20000076293945,14332000,46.71622085571289
2025-03-07,1741357800,47.81999969482422,46.040000915527344,47.779998779296875,47.439998626708984,13824400,47.07344055175781
2025-03-10,1741613400,48.18000030517578,46.77000045776367,46.810001373291016,48.08000183105469,21621600,47.708499908447266
2025-03-11,1741699800,48.81999969482422,46.029998779296875,48.0,48.279998779296875,21879900,47.906951904296875
2025-03-12,1741786200,48.7400016784668,46.93000030517578,48.5,47.900001525878906,10041800,47.52988815307617
2025-03-13,1741872600,49.27000045776367,46.869998931884766,47.77000045776367,47.11000061035156,14189900,46.74599075317383
2025-03-14,1741959000,48.75,47.63999938964844,47.790000915527344,48.34000015258789,14143900,47.966487884521484
2025-03-17,1742218200,49.27000045776367,48.279998779296875,48.5099983215332,49.0,14102400,48.62138748168945
2025-03-18,1742304600,49.83000183105469,48.189998626708984,49.349998474121094,48.66999816894531,19265400,48.2939338684082
2025-03-19,1742391000,50.209999084472656,48.70000076293945,48.83000183105469,49.790000915527344,13291600,49.4052848815918
2025-03-20,1742477400,49.97999954223633,48.75,48.810001373291016,49.439998626708984,12906900,49.05799102783203
2025-03-21,1742563800,50.040000915527344,48.7400016784668,48.97999954223633,49.79999923706055,37624900,49.41520690917969
2025-03-24,1742823000,51.88999938964844,50.459999084472656,50.7599983215332,51.459999084472656,16024400,51.062381744384766
2025-03-25,1742909400,52.7599983215332,51.5,51.5,52.59000015258789,14836200,52.18364715576172
2025-03-26,1742995800,53.290000915527344,50.650001525878906,52.689998626708984,50.95000076293945,20510100,50.55632019042969
2025-03-27,1743082200,48.400001525878906,46.2599983215332,46.9900016784668,47.20000076293945,35799000,46.835296630859375
2025-03-28,1743168600,47.13999938964844,45.810001373291016,46.90999984741211,46.68000030517578,18820100,46.31931686401367
2025-03-31,1743427800,47.27000045776367,45.61000061035156,45.65999984741211,47.029998779296875,15878600,46.66660690307617
2025-04-01,1743514200,47.77000045776367,46.5,47.0099983215332,47.2599983215332,14065600,46.89483642578125
2025-04-02,1743600600,48.27000045776367,46.869998931884766,46.869998931884766,47.97999954223633,12305600,47.60927200317383
2025-04-03,1743687000,47.779998779296875,45.849998474121094,46.95000076293945,45.900001525878906,18871200,45.54534149169922
2025-04-04,1743773400,44.72999954223633,42.72999954223633,44.459999084472656,44.18000030517578,26717400,43.83863067626953
2025-04-07,1744032600,45.349998474121094,41.599998474121094,41.75,43.529998779296875,25522100,43.19365310668945
2025-04-08,1744119000,45.400001525878906,41.939998626708984,44.939998626708984,42.47999954223633,16415600,42.15176773071289
2025-04-09,1744205400,46.29999923706055,41.63999938964844,41.86000061035156,45.7400016784668,23918100,45.38657760620117
2025-04-10,1744291800,44.459999084472656,42.619998931884766,44.15999984741211,43.72999954223633,17437900,43.392112731933594
2025-04-11,1744378200,43.939998626708984,42.75,43.5,43.630001068115234,10735600,43.29288101196289
2025-04-14,1744637400,45.869998931884766,43.11000061035156,43.869998931884766,45.13999938964844,22020900,44.79121017456055
2025-04-15,1744723800,44.869998931884766,44.130001068115234,44.20000076293945,44.540000915527344,9799300,44.19585037231445
2025-04-16,1744810200,45.060001373291016,43.88999938964844,44.36000061035156,44.220001220703125,9877000,43.87832260131836
2025-04-17,1744896600,45.279998779296875,43.93000030517578,44.27000045776367,44.56999969482422,11707500,44.225616455078125
2025-04-21,1745242200,44.689998626708984,43.77000045776367,44.470001220703125,44.38999938964844,6424600,44.0470085144043
2025-04-22,1745328600,45.650001525878906,44.7400016784668,45.099998474121094,45.15999984741211,8438500,44.81106185913086
2025-04-23,1745415000,47.41999816894531,45.68000030517578,46.5,45.84000015258789,9032800,45.48580551147461
2025-04-24,1745501400,47.06999969482422,45.84000015258789,46.209999084472656,46.880001068115234,7509200,46.51777267456055
2025-04-25,1745587800,47.560001373291016,46.540000915527344,46.540000915527344,47.11000061035156,8108100,46.74599075317383
2025-04-28,1745847000,47.810001373291016,46.650001525878906,47.20000076293945,47.2400016784668,15269800,46.8749885559082
2025-04-29,1745933400,47.459999084472656,45.34000015258789,45.90999984741211,46.939998626708984,24183100,46.57730484008789
2025-04-30,1746019800,46.540000915527344,44.720001220703125,46.209999084472656,45.2400016784668,17948600,44.89044189453125
2025-05-01,1746106200,46.540000915527344,44.720001220703125,46.5,45.04999923706055,15875500,44.701908111572266
2025-05-02,1746192600,45.81999969482422,44.95000076293945,45.709999084472656,45.29999923706055,11649800,44.949974060058594
2025-05-05,1746451800,45.75,45.150001525878906,45.279998779296875,45.380001068115234,8084300,45.029361724853516
2025-05-06,1746538200,45.970001220703125,44.84000015258789,45.0099983215332,45.459999084472656,9638200,45.108741760253906
2025-05-07,1746624600,45.939998626708984,44.970001220703125,45.709999084472656,45.470001220703125,8711100,45.1186637878418
2025-05-08,1746711000,47.720001220703125,46.09000015258789,46.099998474121094,47.349998474121094,14499500,46.98413848876953
2025-05-09,1746797400,47.970001220703125,47.25,47.560001373291016,47.5,8582900,47.13297653198242
2025-05-12,1747056600,50.13999938964844,48.869998931884766,49.7400016784668,49.61000061035156,13160600,49.22667694091797
2025-05-13,1747143000,50.619998931884766,49.400001525878906,49.560001373291016,50.459999084472656,10427600,50.070106506347656
2025-05-14,1747229400,50.810001373291016,50.09000015258789,50.36000061035156,50.310001373291016,8949300,49.921268463134766
2025-05-15,1747315800,50.2400016784668,49.58000183105469,49.790000915527344,50.119998931884766,7286600,49.73273468017578
2025-05-16,1747402200,50.38999938964844,49.849998474121094,50.11000061035156,50.369998931884766,6099800,49.980804443359375
2025-05-19,1747661400,50.349998474121094,49.18000030517578,49.709999084472656,50.029998779296875,9406500,49.643428802490234
2025-05-20,1747747800,50.54999923706055,49.900001525878906,50.2599983215332,50.209999084472656,6565400,49.82204055786133
2025-05-21,1747834200,50.540000915527344,49.290000915527344,49.880001068115234,49.369998931884766,7515600,48.988529205322266
2025-05-22,1747920600,49.68000030517578,48.900001525878906,49.349998474121094,49.279998779296875,6378200,48.899227142333984
